"filename", "language", "Markdown", "HTML", "JavaScript", "XML", "vue", "JSON", "comment", "blank", "total"
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\README.md", "Markdown", 84, 0, 0, 0, 0, 0, 0, 12, 96
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\index.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 0, 12
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 1408, 0, 1, 1409
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\package.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 25
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\public\favicon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\public\icons.svg", "XML", 0, 0, 0, 24, 0, 0, 0, 1, 25
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\App.vue", "vue", 0, 0, 0, 0, 13, 0, 0, 3, 16
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\api\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 1, 0, 9
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\api\modules\ai.js", "JavaScript", 0, 0, 5, 0, 0, 0, 4, 1, 10
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\api\modules\common.js", "JavaScript", 0, 0, 18, 0, 0, 0, 6, 5, 29
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\api\modules\delivery.js", "JavaScript", 0, 0, 7, 0, 0, 0, 1, 3, 11
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\api\modules\hr.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 1, 10
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\api\modules\interview.js", "JavaScript", 0, 0, 7, 0, 0, 0, 6, 2, 15
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\api\modules\job.js", "JavaScript", 0, 0, 8, 0, 0, 0, 7, 2, 17
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\api\modules\resume.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 3, 14
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\api\modules\seeker.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 1, 10
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\api\request.js", "JavaScript", 0, 0, 133, 0, 0, 0, 10, 20, 163
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\assets\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1, 2
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\assets\vue.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\components\Layout.vue", "vue", 0, 0, 0, 0, 313, 0, 0, 40, 353
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\components\SendInterviewDialog.vue", "vue", 0, 0, 0, 0, 425, 0, 0, 54, 479
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\composables\useRequest.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 3, 38
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\composables\useRole.js", "JavaScript", 0, 0, 9, 0, 0, 0, 1, 1, 11
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\main.js", "JavaScript", 0, 0, 16, 0, 0, 0, 1, 4, 21
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\router\index.js", "JavaScript", 0, 0, 41, 0, 0, 0, 2, 9, 52
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\router\routes.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 4, 45
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\stores\user.js", "JavaScript", 0, 0, 71, 0, 0, 0, 1, 2, 74
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\utils\auth.js", "JavaScript", 0, 0, 58, 0, 0, 0, 10, 8, 76
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\utils\errorCodes.js", "JavaScript", 0, 0, 31, 0, 0, 0, 1, 2, 34
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\utils\format.js", "JavaScript", 0, 0, 23, 0, 0, 0, 6, 5, 34
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\utils\upload.js", "JavaScript", 0, 0, 23, 0, 0, 0, 3, 4, 30
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\utils\validator.js", "JavaScript", 0, 0, 10, 0, 0, 0, 6, 1, 17
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\utils\view.js", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 11, 97
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\views\common\Login.vue", "vue", 0, 0, 0, 0, 100, 0, 0, 5, 105
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\views\common\PlaceHolder.vue", "vue", 0, 0, 0, 0, 14, 0, 0, 2, 16
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\views\common\Register.vue", "vue", 0, 0, 0, 0, 58, 0, 0, 3, 61
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\views\common\ResetPwd.vue", "vue", 0, 0, 0, 0, 177, 0, 0, 11, 188
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\views\common\RoleSelect.vue", "vue", 0, 0, 0, 0, 257, 0, 1, 6, 264
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\views\hr\HRMessageList.vue", "vue", 0, 0, 0, 0, 356, 0, 4, 42, 402
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\views\hr\Jobs.vue", "vue", 0, 0, 0, 0, 550, 0, 0, 77, 627
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\views\hr\Settings.vue", "vue", 0, 0, 0, 0, 329, 0, 3, 22, 354
"e:\ai-recruit-system\frontend\ai-recruit-system-frontend\src\views\hr\SmartPool.vue", "vue", 0, 0, 0, 0, 953, 0, 0, 150, 1103
